Year,no_rocket_type_per_year
1957,2
1958,8
1959,7
1960,13
1961,12
1962,17
1963,15
1964,15
1965,21
1966,24
1967,26
1968,20
1969,23
1970,25
1971,30
1972,25
1973,23
1974,25
1975,27
1976,22
1977,20
1978,20
1979,16
1980,18
1981,19
1982,17
1983,22
1984,21
1985,21
1986,20
1987,20
1988,24
1989,21
1990,34
1991,25
1992,26
1993,26
1994,36
1995,35
1996,33
1997,38
1998,38
1999,38
2000,33
2001,30
2002,30
2003,32
2004,26
2005,25
2006,33
2007,34
2008,31
2009,31
2010,24
2011,34
2012,25
2013,31
2014,26
2015,27
2016,48
2017,45
2018,51
2019,51
2020,48
2021,51
2022,37